北京市市辖区大兴区高米店街道	110115011
北京市市辖区大兴区荣华街道	110115012
北京市市辖区大兴区博兴街道	110115013
北京市市辖区大兴区青云店镇	110115103
北京市市辖区大兴区采育镇	110115104
北京市市辖区大兴区安定镇	110115105
北京市市辖区大兴区礼贤镇	110115106
北京市市辖区大兴区榆垡镇	110115107
北京市市辖区大兴区庞各庄镇	110115108
北京市市辖区大兴区北臧村镇	110115109
北京市市辖区大兴区魏善庄镇	110115110
北京市市辖区大兴区长子营镇	110115111
北京市市辖区大兴区北京经济技术开发区	110115403
北京市市辖区大兴区中关村国家自主创新示范区大兴生物医药产业基地	110115404
北京市市辖区大兴区国家新媒体产业基地	110115405
北京市市辖区大兴区大兴国际机场	110115406
北京市市辖区怀柔区	110116
北京市市辖区怀柔区泉河街道	110116001
北京市市辖区怀柔区龙山街道	110116002
北京市市辖区怀柔区怀柔地区	110116003
北京市市辖区怀柔区雁栖地区	110116004
北京市市辖区怀柔区庙城地区	110116005
北京市市辖区怀柔区北房镇	110116102
北京市市辖区怀柔区杨宋镇	110116103
北京市市辖区怀柔区桥梓镇	110116105
北京市市辖区怀柔区怀北镇	110116106
北京市市辖区怀柔区汤河口镇	110116107
北京市市辖区怀柔区渤海镇	110116108
北京市市辖区怀柔区九渡河镇	110116109
北京市市辖区怀柔区琉璃庙镇	110116110
北京市市辖区怀柔区宝山镇	110116111
北京市市辖区怀柔区长哨营满族乡	110116211
北京市市辖区怀柔区喇叭沟门满族乡	110116213
北京市市辖区怀柔区北京雁栖经济开发区	110116400
北京市市辖区平谷区	110117
北京市市辖区平谷区滨河街道	110117001
北京市市辖区平谷区兴谷街道	110117002
北京市市辖区平谷区渔阳地区	110117003
北京市市辖区平谷区峪口地区	110117004
北京市市辖区平谷区马坊地区	110117005
北京市市辖区平谷区金海湖地区	110117006
北京市市辖区平谷区东高村镇	110117101
北京市市辖区平谷区山东庄镇	110117102
北京市市辖区平谷区南独乐河镇	110117104
北京市市辖区平谷区大华山镇	110117105
北京市市辖区平谷区夏各庄镇	110117106
北京市市辖区平谷区马昌营镇	110117108
北京市市辖区平谷区王辛庄镇	110117110
北京市市辖区平谷区大兴庄镇	110117111
北京市市辖区平谷区刘家店镇	110117112
北京市市辖区平谷区镇罗营镇	110117114
北京市市辖区平谷区黄松峪乡	110117213
北京市市辖区平谷区熊儿寨乡	110117214
北京市市辖区密云区	110118
北京市市辖区密云区鼓楼街道	110118001
北京市市辖区密云区果园街道	110118002
北京市市辖区密云区檀营地区	110118003
北京市市辖区密云区密云镇	110118100
北京市市辖区密云区溪翁庄镇	110118101
北京市市辖区密云区西田各庄镇	110118102
北京市市辖区密云区十里堡镇	110118103
北京市市辖区密云区河南寨镇	110118104
北京市市辖区密云区巨各庄镇	110118105
北京市市辖区密云区穆家峪镇	110118106
北京市市辖区密云区太师屯镇	110118107
北京市市辖区密云区高岭镇	110118108
北京市市辖区密云区不老屯镇	110118109
北京市市辖区密云区冯家峪镇	110118110
北京市市辖区密云区古北口镇	110118111
北京市市辖区密云区大城子镇	110118112
北京市市辖区密云区东邵渠镇	110118113
北京市市辖区密云区北庄镇	110118114
北京市市辖区密云区新城子镇	110118115
北京市市辖区密云区石城镇	110118116
北京市市辖区密云区中关村科技园区密云园	110118400
北京市市辖区延庆区	110119
